Age,Education,Default,Balance,Housing,Loan,Duration,Campaign,Pdays,Previous,Poutcome,Deposit,Job_management,Job_blue-collar,Job_technician,Job_admin,Job_services,Job_retired,Job_self-employed,Job_student,Job_umemployed,Job_entrepreneur,Job_housemaid,Married,divorced,Contact_cellular,Contact_telephone,Season_1,Season_2,First half of month
59,2,0,2343,1,0,1042,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,2,0,45,0,0,1467,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
41,2,0,1270,1,0,1389,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
55,2,0,2476,1,0,579,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
54,3,0,184,0,0,673,2,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
42,3,0,0,1,1,562,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,3,0,830,1,1,1201,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,2,0,545,1,0,1030,1,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
37,2,0,1,1,0,608,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
28,2,0,5090,1,0,1297,3,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
38,2,0,100,1,0,786,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,2,0,309,1,0,1574,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
29,3,0,199,1,1,1689,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
46,3,0,460,1,0,1102,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,3,0,703,1,0,943,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,3,0,3837,1,0,1084,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
32,1,0,611,1,0,541,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
49,2,0,-8,1,0,1119,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
41,2,0,55,1,0,1120,2,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
49,2,0,168,1,1,513,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
28,2,0,785,1,0,442,2,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
43,3,0,2067,1,0,756,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,3,0,388,1,0,2087,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
